iso3,year,age 15-17,age 20-34
AFG,2010,33,29
ALB,2005,98,96
ALB,2008,98,98
ARG,2012,100,100
ARM,2000,93,87
ARM,2005,99,100
ARM,2010,100,100
AZE,2006,81,87
BGD,2004,12,-
BGD,2006,16,19
BGD,2007,19,20
BGD,2011,31,32
BGD,2013,31,31
BGD,2014,40,37
BRB,2012,100,100
BLR,2005,100,100
BLR,2012,100,100
BLZ,2006,88,95
BLZ,2011,94,98
BEN,2001,79,80
BEN,2006,81,79
BEN,2011,88,88
BTN,2010,63,44
BOL,2003,61,71
BOL,2008,70,78
BIH,2006,100,100
BIH,2011,100,100
BFA,2003,38,43
BFA,2006,51,55
BFA,2010,74,77
BDI,2005,31,35
BDI,2010,67,78
KHM,2000,10,13
KHM,2005,25,29
KHM,2010,66,69
KHM,2014,89,89
CMR,2004,61,59
CMR,2006,61,-   
CMR,2011,63,60
CAF,2006,51,53
CAF,2010,53,43
TCD,2004,14,21
TCD,2010,16,15
COL,2000,87,86
COL,2005,92,92
COL,2010,95,96
COM,2012,79,80
COG,2005,82,87
COG,2011,92,92
COD,2007,72,72
COD,2010,75,63
COD,2013,80,77
CRI,2011,98,97
CIV,2006,54,52
CIV,2011,59,60
CUB,2011,100,100
CUB,2014,99,100
DJI,2006,87,93
DOM,2002,98,100
DOM,2007,98,98
DOM,2013,99,99
EGY,2000,54,54
EGY,2003,63,66
EGY,2005,68,65
EGY,2008,75,76
EGY,2014,88,86
ETH,2000,5,5
ETH,2005,6,8
ETH,2011,12,9
GAB,2000,86,87
GAB,2012,92,89
GMB,2005,54,55
GMB,2013,64,74
GEO,2005,96,90
GHA,2003,44,40
GHA,2006,49,55
GHA,2008,59,56
GHA,2011,67,64
GHA,2014,75,72
GIN,2005,30,39
GIN,2012,41,37
GNB,2006,36,41
GUY,2006,83,85
GUY,2009,90,91
HTI,2000,26,31
HTI,2005,25,24
HTI,2012,39,39
HND,2005,70,74
HND,2011,85,89
IND,2005,41,42
IDN,2002,44,39
IDN,2007,50,40
IDN,2012,69,62
IRQ,2006,63,68
IRQ,2011,77,76
JAM,2005,94,98
JAM,2011,99,100
JOR,2002,97,97
JOR,2007,99,99
JOR,2012,99,95
KAZ,2006,100,100
KAZ,2010,100,100
KEN,2003,39,48
KEN,2008,47,55
KEN,2014,66,67
KGZ,2012,100,100
KGZ,2014,98,99
LAO,2006,17,14
LAO,2011,38,36
LSO,2004,54,60
LSO,2009,60,61
LBR,2007,41,33
LBR,2013,61,61
MKD,2005,98,99
MKD,2011,98,100
MDG,2003,31,27
MDG,2008,35,33
MWI,2000,53,55
MWI,2004,69,70
MWI,2006,54,-   
MWI,2010,78,83
MWI,2013,89,92
MDV,2009,98,96
MLI,2001,39,45
MLI,2006,49,53
MLI,2012,58,61
MRT,2007,56,66
MRT,2011,64,55
MDA,2005,99,100
MDA,2012,99,100
MNG,2005,99,97
MNG,2010,99,64
MNE,2005,99,100
MNE,2013,99,100
MAR,2003,64,66
MOZ,2003,50,56
MOZ,2008,80,85
MOZ,2011,57,62
NAM,2000,75,74
NAM,2006,81,85
NAM,2013,88,90
NPL,2001,10,15
NPL,2006,20,25
NPL,2011,44,52
NPL,2014,55,53
NIC,2001,70,77
NER,2006,19,16
NER,2012,34,40
NGA,2003,34,24
NGA,2007,41,29
NGA,2008,36,24
NGA,2011,45,28
NGA,2013,37,25
PAK,2006,39,41
PAK,2012,54,55
PSE,2014,99,99
PAN,2013,91,90
PER,2000,57,58
PER,2004,77,80
PER,2009,84,82
PER,2010,84,87
PER,2011,85,85
PER,2012,88,87
PHL,2003,40,41
PHL,2008,47,44
PHL,2013,70,69
RWA,2000,26,36
RWA,2005,30,42
RWA,2008,57,63
RWA,2010,80,89
LCA,2012,100,100
STP,2008,80,87
SEN,2005,63,64
SEN,2010,73,74
SEN,2012,72,70
SEN,2014,78,78
SRB,2005,99,98
SRB,2010,100,100
SRB,2014,98,98
SLE,2005,19,22
SLE,2008,26,25
SLE,2010,50,45
SLE,2013,58,61
SOM,2006,9,8
SSD,2010,11,18
SDN,2010,21,26
SUR,2006,88,91
SUR,2010,92,93
SWZ,2006,75,78
SWZ,2010,80,67
SYR,2006,70,75
TJK,2005,62,80
TJK,2012,78,79
TZA,2004,48,50
TZA,2010,52,55
THA,2005,97,100
TLS,2009,25,31
TGO,2006,67,81
TGO,2010,66,63
TGO,2013,75,75
TTO,2006,97,97
TUN,2011,98,83
TUR,2003,81,83
UGA,2000,36,43
UGA,2006,43,51
UGA,2011,59,66
UKR,2005,100,100
UKR,2007,100,100
UKR,2012,99,99
URY,2012,100,100
UZB,2006,97,97
VUT,2006,80,87
VNM,2002,79,64
VNM,2006,85,67
VNM,2010,92,81
VNM,2013,94,85
YEM,2006,24,-   
YEM,2013,33,38
ZMB,2001,43,45
ZMB,2007,48,52
ZMB,2013,72,79
ZWE,2005,66,64
ZWE,2009,58,59
ZWE,2010,64,66
ZWE,2014,80,82
