ISO3,2009 est,2009 hi,2009 lo,2010 est,2010 hi,2010 lo,2011 est,2011 hi,2011 lo,2012 est,2012 hi,2012 lo,2013 est,2013 hi,2013 lo,2014 est,2014 hi,2014 lo,2015 est,2015 hi,2015 lo,2016 est,2016 hi,2016 lo,2017 est,2017 hi,2017 lo
AFG,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ALB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
DZA,-,-,-,-,-,-,38%,42%,35%,23%,25%,21%,55%,60%,50%,27%,30%,25%,23%,25%,21%,33%,37%,31%,61%,68%,57%
AGO,-,-,-,3%,4%,2%,5%,7%,4%,6%,8%,5%,15%,20%,12%,10%,14%,8%,6%,8%,5%,1%,2%,1%,1%,2%,1%
AIA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ATG,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ARG,-,-,-,-,-,-,13%,14%,11%,12%,14%,11%,12%,14%,11%,52%,61%,48%,53%,61%,48%,67%,77%,61%,66%,77%,60%
ARM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AUS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AUT,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AZE,26%,35%,18%,24%,31%,17%,38%,54%,27%,55%,76%,39%,61%,83%,44%,74%,>95%,53%,83%,>95%,64%,75%,>95%,56%,74%,>95%,56%
BHS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
BHR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
BGD,-,-,-,2%,3%,2%,2%,3%,2%,2%,3%,2%,3%,3%,2%,15%,18%,13%,10%,12%,8%,17%,20%,14%,14%,16%,12%
BRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
BLR,>95%,>95%,>95%,>95%,>95%,>95%,>95%,>95%,91%,>95%,>95%,>95%,>95%,>95%,>95%,>95%,>95%,80%,80%,>95%,59%,>95%,>95%,78%,87%,>95%,61%
BEL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
BLZ,77%,89%,3%,75%,88%,3%,72%,80%,4%,51%,57%,3%,55%,62%,3%,50%,57%,3%,62%,70%,3%,37%,42%,2%,36%,40%,2%
BEN,-,-,-,-,-,-,10%,17%,6%,9%,15%,5%,12%,21%,8%,26%,44%,17%,27%,46%,17%,25%,44%,16%,32%,55%,20%
BTN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
BOL,7%,10%,5%,46%,67%,34%,46%,68%,34%,46%,71%,34%,46%,67%,33%,44%,65%,32%,43%,66%,32%,42%,61%,30%,40%,57%,28%
BIH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
BWA,-,-,-,53%,62%,47%,35%,41%,32%,36%,41%,33%,48%,55%,43%,41%,48%,38%,45%,53%,41%,47%,54%,42%,50%,57%,44%
BRA,25%,35%,19%,25%,35%,19%,46%,63%,35%,25%,35%,19%,45%,63%,35%,45%,62%,34%,46%,65%,35%,46%,63%,35%,45%,63%,35%
BRN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
BGR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
BFA,3%,5%,3%,9%,14%,7%,13%,20%,11%,19%,27%,15%,25%,35%,20%,30%,43%,24%,28%,40%,22%,15%,21%,11%,16%,23%,12%
BDI,-,-,-,10%,15%,8%,10%,15%,8%,11%,16%,9%,18%,26%,15%,12%,16%,10%,2%,2%,2%,12%,16%,10%,20%,28%,16%
CPV,>95%,>95%,85%,>95%,>95%,87%,>95%,>95%,>95%,76%,>95%,63%,85%,>95%,69%,94%,>95%,76%,70%,>95%,58%,94%,>95%,76%,93%,>95%,74%
KHM,-,-,-,45%,54%,39%,62%,76%,53%,34%,42%,28%,37%,47%,31%,37%,47%,30%,79%,>95%,64%,74%,>95%,61%,64%,85%,55%
CMR,27%,36%,23%,20%,26%,16%,25%,35%,21%,30%,42%,26%,32%,43%,26%,36%,49%,30%,33%,44%,27%,53%,71%,44%,51%,66%,42%
CAN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CAF,1%,1%,1%,1%,1%,1%,7%,10%,6%,5%,7%,4%,3%,4%,3%,9%,11%,7%,12%,16%,10%,21%,27%,17%,23%,29%,19%
TCD,-,-,-,3%,4%,3%,2%,2%,1%,6%,8%,5%,6%,8%,5%,7%,9%,6%,5%,6%,4%,5%,6%,4%,5%,6%,4%
CHL,-,-,-,-,-,-,64%,72%,56%,56%,64%,50%,67%,77%,59%,77%,87%,67%,92%,>95%,79%,70%,79%,62%,85%,>95%,76%
CHN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
COL,5%,6%,4%,10%,12%,8%,18%,22%,15%,22%,26%,18%,30%,36%,25%,37%,44%,31%,45%,52%,38%,44%,52%,37%,48%,59%,41%
COM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
COG,8%,12%,6%,7%,10%,5%,3%,5%,3%,5%,8%,4%,4%,6%,3%,0%,0%,0%,1%,2%,1%,2%,3%,2%,3%,5%,3%
COK,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CRI,92%,>95%,81%,69%,78%,61%,66%,76%,58%,89%,>95%,81%,66%,75%,58%,78%,89%,70%,79%,91%,71%,64%,74%,58%,71%,81%,64%
CIV,-,-,-,22%,34%,15%,3%,5%,2%,19%,30%,13%,12%,19%,8%,33%,51%,22%,28%,43%,19%,39%,61%,27%,40%,62%,27%
HRV,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CUB,83%,>95%,75%,>95%,>95%,85%,>95%,>95%,>95%,>95%,>95%,>95%,>95%,>95%,>95%,92%,>95%,83%,>95%,>95%,>95%,>95%,>95%,>95%,>95%,>95%,>95%
CYP,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CZE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KOR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
COD,-,-,-,3%,4%,2%,5%,7%,4%,7%,10%,5%,10%,13%,7%,14%,20%,11%,16%,22%,13%,20%,28%,16%,34%,46%,27%
DNK,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
DJI,-,-,-,-,-,-,2%,2%,1%,8%,11%,5%,8%,11%,6%,2%,2%,1%,8%,11%,6%,10%,14%,8%,10%,15%,7%
DMA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
DOM,28%,36%,21%,10%,13%,8%,43%,55%,33%,46%,60%,36%,64%,81%,50%,>95%,>95%,>95%,>95%,>95%,94%,72%,94%,56%,80%,>95%,62%
ECU,1%,1%,0%,1%,1%,0%,>95%,>95%,57%,87%,>95%,49%,21%,31%,12%,87%,>95%,51%,54%,78%,32%,70%,>95%,40%,69%,>95%,41%
EGY,4%,4%,3%,5%,5%,4%,4%,5%,4%,4%,5%,4%,4%,4%,3%,5%,6%,5%,7%,8%,6%,10%,11%,9%,11%,12%,10%
SLV,-,-,-,28%,32%,25%,28%,31%,25%,2%,2%,2%,31%,35%,28%,40%,46%,37%,40%,45%,36%,35%,41%,32%,34%,39%,31%
GNQ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ERI,-,-,-,-,-,-,-,-,-,-,-,-,27%,38%,21%,39%,54%,31%,36%,51%,29%,39%,54%,30%,15%,21%,11%
EST,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ETH,4%,6%,3%,40%,61%,30%,15%,23%,12%,24%,36%,18%,24%,37%,18%,25%,37%,19%,31%,46%,23%,45%,68%,34%,38%,58%,29%
FJI,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
FIN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
FRA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GAB,-,-,-,6%,8%,5%,27%,35%,23%,28%,38%,24%,16%,21%,14%,20%,26%,17%,24%,31%,21%,24%,31%,21%,4%,5%,3%
GMB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8%,10%,7%,11%,14%,10%,12%,14%,10%,12%,14%,10%
GEO,61%,77%,49%,82%,>95%,66%,69%,85%,58%,62%,74%,50%,58%,71%,51%,74%,89%,63%,77%,93%,65%,79%,>95%,64%,84%,>95%,66%
DEU,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GHA,-,-,-,1%,1%,1%,11%,14%,9%,9%,12%,8%,19%,25%,15%,15%,21%,13%,20%,27%,17%,31%,41%,25%,30%,41%,25%
GRC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GRD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GTM,-,-,-,-,-,-,19%,21%,16%,17%,19%,15%,11%,13%,10%,15%,17%,14%,15%,16%,13%,15%,18%,14%,17%,19%,15%
GIN,-,-,-,5%,6%,4%,6%,8%,5%,0%,0%,0%,6%,7%,5%,7%,9%,6%,4%,5%,3%,39%,52%,32%,11%,15%,9%
GNB,-,-,-,-,-,-,0%,0%,0%,3%,4%,2%,5%,8%,4%,24%,34%,20%,35%,49%,29%,36%,50%,29%,36%,51%,29%
GUY,-,-,-,27%,30%,24%,47%,53%,43%,38%,42%,33%,32%,36%,30%,60%,67%,54%,55%,63%,49%,54%,61%,48%,53%,61%,47%
HTI,-,-,-,-,-,-,4%,6%,4%,39%,49%,31%,35%,44%,29%,36%,46%,30%,32%,41%,26%,35%,44%,29%,40%,50%,32%
HND,61%,74%,51%,69%,86%,59%,89%,>95%,76%,43%,53%,36%,47%,58%,40%,49%,62%,42%,40%,50%,34%,60%,77%,52%,59%,76%,50%
HUN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ISL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IND,-,-,-,6%,9%,4%,7%,10%,5%,8%,11%,5%,9%,13%,6%,10%,14%,7%,25%,36%,17%,27%,39%,18%,23%,33%,16%
IDN,-,-,-,-,-,-,-,-,-,-,-,-,4%,4%,3%,5%,5%,4%,6%,7%,5%,2%,2%,1%,1%,1%,1%
