"State" "Gender" "Year" "Name" "Count"
"CA" "F" 1941 "Kelly" 6
"CA" "F" 1943 "Kelly" 5
"CA" "F" 1944 "Kelly" 7
"CA" "F" 1945 "Kelly" 6
"CA" "F" 1946 "Kelly" 7
"CA" "F" 1947 "Kelly" 8
"CA" "F" 1948 "Kelly" 16
"CA" "F" 1949 "Kelly" 26
"CA" "F" 1950 "Kelly" 21
"CA" "F" 1951 "Kelly" 36
"CA" "F" 1952 "Kelly" 64
"CA" "F" 1953 "Kelly" 54
"CA" "F" 1954 "Kelly" 71
"CA" "F" 1955 "Kelly" 110
"CA" "F" 1956 "Kelly" 134
"CA" "F" 1957 "Kelly" 306
"CA" "F" 1958 "Kelly" 615
"CA" "F" 1959 "Kelly" 840
"CA" "F" 1960 "Kelly" 1172
"CA" "F" 1961 "Kelly" 1245
"CA" "F" 1962 "Kelly" 1450
"CA" "F" 1963 "Kelly" 1572
"CA" "F" 1964 "Kelly" 1408
"CA" "F" 1965 "Kelly" 1372
"CA" "F" 1966 "Kelly" 1274
"CA" "F" 1967 "Kelly" 1260
"CA" "F" 1968 "Kelly" 1459
"CA" "F" 1969 "Kelly" 1246
"CA" "F" 1970 "Kelly" 1077
"CA" "F" 1971 "Kelly" 866
"CA" "F" 1972 "Kelly" 772
"CA" "F" 1973 "Kelly" 725
"CA" "F" 1974 "Kelly" 834
"CA" "F" 1975 "Kelly" 810
"CA" "F" 1976 "Kelly" 907
"CA" "F" 1977 "Kelly" 1299
"CA" "F" 1978 "Kelly" 1258
"CA" "F" 1979 "Kelly" 1149
"CA" "F" 1980 "Kelly" 1064
"CA" "F" 1981 "Kelly" 1057
"CA" "F" 1982 "Kelly" 1101
"CA" "F" 1983 "Kelly" 1000
"CA" "F" 1984 "Kelly" 996
"CA" "M" 1941 "Kelly" 9
"CA" "M" 1942 "Kelly" 20
"CA" "M" 1943 "Kelly" 18
"CA" "M" 1944 "Kelly" 17
"CA" "M" 1945 "Kelly" 16
"CA" "M" 1946 "Kelly" 15
"CA" "M" 1947 "Kelly" 24
"CA" "M" 1948 "Kelly" 33
"CA" "M" 1949 "Kelly" 55
"CA" "M" 1950 "Kelly" 41
"CA" "M" 1951 "Kelly" 76
"CA" "M" 1952 "Kelly" 93
